concurrency,pool,throughput
1021,7,182282
1051,7,183284
1081,7,181225
1111,7,183553
1141,7,178826
1171,7,184094
1201,7,183891
1231,7,184569
1261,7,184162
1291,7,190258
1321,7,178253
1351,7,177116
1381,7,184569
1411,7,181554
1441,7,180050
1471,7,183553
1501,7,184094
1531,7,187687
1561,7,180570
1591,7,178954
1621,7,181950
1651,7,178699
1681,7,178954
1711,7,176056
1741,7,188323
1771,7,181818
1801,7,181818
1831,7,180440
1861,7,182083
1891,7,182415
1921,7,183958
1951,7,180115
1981,7,180505
2011,7,179533
2041,7,180897
2071,7,180962
2101,7,180766
2131,7,184162
2161,7,185116
2191,7,181422
2221,7,184842
2251,7,183418
2281,7,183621
2311,7,185942
2341,7,184162
2371,7,180050
2401,7,180962
2431,7,183891
2461,7,184162
2491,7,185666
2521,7,177935
2551,7,181028
2581,7,182748
2611,7,182548
2641,7,181818
2671,7,186150
2701,7,180831
2731,7,186081
2761,7,177619
2791,7,184638
2821,7,179147
2851,7,181159
2881,7,178380
2911,7,180897
2941,7,180570
2971,7,173671
3001,7,185666
3031,7,181356
3061,7,179791
3091,7,180766
3121,7,181093
3151,7,182083
3181,7,180440
3211,7,180897
3241,7,179147
3271,7,183418
3301,7,177430
3331,7,179083
3361,7,179147
3391,7,177935
3421,7,171057
3451,7,180766
3481,7,167336
3511,7,174337
3541,7,169894
3571,7,176928
3601,7,173852
3631,7,182083
3661,7,181620
3691,7,175561
3721,7,179018
3751,7,182748
3781,7,173250
3811,7,180831
3841,7,177430
3871,7,176304
3901,7,179920
3931,7,175070
3961,7,179468
3991,7,177430
4021,7,176366
4051,7,177242
4081,7,174641
4111,7,178443
4141,7,182083
4171,7,182016
4201,7,180050
4231,7,178571
4261,7,173731
4291,7,178571
4321,7,178635
4351,7,180831
4381,7,175315
4411,7,176180
4441,7,171998
4471,7,178826
4501,7,178762
4531,7,180050
4561,7,180635
4591,7,177304
4621,7,176304
4651,7,171585
4681,7,181686
4711,7,173370
4741,7,178699
4771,7,180115
4801,7,178380
4831,7,180897
4861,7,183351
4891,7,180505
4921,7,180050
4951,7,178507
4981,7,178316
5011,7,177746
5041,7,183486
5071,7,178507
5101,7,176740
5131,7,171998
5161,7,176304
5191,7,174155
5221,7,184162
5251,7,178062
5281,7,174825
5311,7,178826
5341,7,177999
5371,7,179662
5401,7,175254
5431,7,178507
5461,7,184706
5491,7,182882
5521,7,181884
5551,7,184638
5581,7,180635
5611,7,180962
5641,7,181686
5671,7,180766
5701,7,182815
5731,7,181422
5761,7,180505
5791,7,177430
5821,7,176242
5851,7,182615
5881,7,181818
5911,7,180115
5941,7,178635
5971,7,178380
6001,7,185942
6031,7,182748
6061,7,182215
6091,7,181752
6121,7,180115
6151,7,178954
6181,7,174276
6211,7,181488
6241,7,178062
6271,7,182282
6301,7,177935
6331,7,179920
6361,7,180115
6391,7,186219
6421,7,185804
6451,7,182748
6481,7,179856
6511,7,177493
6541,7,178062
6571,7,175685
6601,7,186011
6631,7,182016
6661,7,178507
6691,7,180897
6721,7,184501
6751,7,177619
6781,7,183351
6811,7,179018
6841,7,179985
6871,7,183351
6901,7,180570
6931,7,181422
6961,7,181554
6991,7,181554
7021,7,180180
7051,7,180962
7081,7,180570
7111,7,181225
7141,7,183150
7171,7,181093
7201,7,184094
7231,7,184501
7261,7,185322
7291,7,182215
7321,7,177746
7351,7,182548
7381,7,182348
7411,7,178126
7441,7,177430
7471,7,184297
7501,7,177556
7531,7,182415
7561,7,183891
7591,7,181488
7621,7,181752
7651,7,179985
7681,7,185459
7711,7,182149
7741,7,180635
7771,7,185873
